title,lyrics
Help! [Live at the Hollywood Bowl]," (Help!) I need somebody (Help!) Not just anybody (Help!) You know I need someone (Help!)  When I was younger so much younger than today I never needed anybody's help in any way But now these days are gone, I'm not so self assured Now I find I've changed my mind and opened up the doors  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me?  And now my life has changed in oh so many ways My independence seems to vanish in the haze But every now and then I feel so insecure I know that I just need you like I've never done before  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? When I was younger, so much younger than today I never needed anybody's help in any way But now these days are gone, I'm not so self assured Now I find I've changed my mind and opened up the doors  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? Help me? Help me? OohEmbed"
Help! (Live on Blackpool Night Out)," (Help!) I need somebody (Help!) Not just anybody (Help!) You know I need someone (Help!)  When I was younger so much younger than today I never needed anybody's help in any way But now these days are gone, I'm not so self assured Now I find I've changed my mind and opened up the doors  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me?  And now my life has changed in oh so many ways My independence seems to vanish in the haze But every now and then I feel so insecure I know that I just need you like I've never done before  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? When I was younger, so much younger than today I never needed anybody's help in any way But now these days are gone, I'm not so self assured Now I find I've changed my mind and opened up the doors  Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? Help me? Help me? OohEmbed"
Helter Skelter," When I get to the bottom, I go back to the top of the slide Where I stop, and I turn, and I go for a ride 'Til I get to the bottom, and I see you again Yeah, yeah, yeah!  Well, do you, don't you want me to love you? I'm coming down fast, but I'm miles above you Tell me, tell me, tell me, come on, tell me the answer Well, you may be a lover, but you ain't no dancer  Now, Helter skelter Helter skelter Helter skelter Yeah Woo  Oh, will you, won't you want me to make you? I'm coming down fast, but don't let me break you Tell me, tell me, tell me the answer You may be a lover, but you ain't no dancer  Look out Helter skelter Helter skelter Helter skelter Ooh Look out 'Cause here she comes When I get to the bottom, I go back to the top of the slide And I stop, and I turn, and I go for a ride And I get to the bottom, and I see you again Yeah, yeah, yeah  Well, do you, don't you want me to make you? I'm coming down fast, but don't let me break you Tell me, tell me, tell me your answer You may be a lover, but you ain't no dancer  Look out Helter skelter Helter skelter Helter skelter  Well look out, helter skelter She's coming down fast Yes, she is Yes, she is Coming down fast Oh, yeah, Helter Skelter Woo  I got blisters on my fingers7Embed"
Helter Skelter (Take 2 / Edited)," Take 2  Do you, don’t you want me to love you? I’m coming down fast but I'm miles above you Tell me, tell me, tell me the answer Well you may be a lover but you ain’t no dancer Do you, don’t you want me to make you? I’m coming down fast but don't let me break you Tell me, tell me, tell me the answer You may be a lover but you ain’t no dancer  When I get to the bottom I go back to the top of the ride And I know, as I get, that I’ll never get high But I set to the bottom and I see you again Yeah, yeah, yeah  Do you, don’t you want me to love you? I’m coming down fast from miles above you Tell me, tell me, tell me the answer Well you may be a lover but you ain’t no dancer, dancer, dancer, dancer, dancer (Yeah) Look out now Helter skelter Helter skelter Helter skelter Aaowhoo! Look out now Helter skelter Helter skelter Helter skelterEmbed"
Here Comes the Sun," Here comes the sun, doo da doo doo Here comes the sun, and I say It's all right  Little darling, it's been a long cold lonely winter Little darling, it feels like years since it's been here  Here comes the sun, doo da doo doo Here comes the sun, and I say It's all right  Little darling, the smile's returning to the faces Little darling, it seems like years since it's been here  Here comes the sun Here comes the sun, and I say It's all right  Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comes Sun, sun, sun, here it comes Little darling, I feel that ice is slowly melting Little darling, it seems like years since it's been clear  Here comes the sun, doo da doo doo Here comes the sun, and I say It's all right  Here comes the sun, doo da doo doo Here comes the sun It's all right It's all right54Embed"
Here Come’s the Sun (Take 9)," Here comes the sun, doo-dun doo-doo Here comes the sun, and I say It's all right  Little darling, it's been a long cold lonely winter Little darling, it seems like years since it's been here  Here comes the sun, doo-dun doo-doo Here comes the sun, and I say It's all right  Little darling, the smile's returning to their faces Little darling, it feels like years since it's been here  Here comes the sun Here comes the sun, and I say It's all right  Little darling, I feel that ice is slowly melting Little darling, it seems like years since it's been clear Here comes the sun, doo-dun doo-doo Here comes the sun, and I say It's all right  Here comes the sun, doo-dun doo-doo Here comes the sun, I say It's all rightEmbed"
"Here, There and Everywhere"," To lead a better life I need my love to be here  Here, making each day of the year Changing my life with the wave of her hand Nobody can deny that there's something there  There, running my hands through her hair Both of us thinking how good it can be Someone is speaking, but she doesn't know he's there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere  Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share Each one believing that love never dies Watching her eyes and hoping I'm always there  I will be there and everywhere Here, there and everywhere12Embed"
Her Majesty," Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine11Embed"
Her Majesty (Takes 1-3)," 'Her Majesty', take 1  Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine  Uh, thank you, ladies and gentlemen!  2  Her Majesty's a...! Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine  Do you wanna hear it?  YeahEmbed"
Hey Bulldog," Sheepdog Standing in the rain Bullfrog Doing it again Some kind of happiness is measured out in miles What makes you think you're something special when you smile?  Child-like No one understands Jack knife In your sweaty hands Some kind of innocence is measured out in years You don't know what it's like to listen to your fears  You can talk to me You can talk to me You can talk to me If you're lonely you can talk to me  Big man (Yeah) Walking in the park Wigwam Frightened of the dark Some kind of solitude is measured out in you You think you know me but you haven't got a clue You can talk to me You can talk to me You can talk to me If you're lonely you can talk to me  Wahoo woof! Woof! Hey bulldog! Hey bulldog! Hey bulldog! Hey bulldog!  Hey man, what's that boy? Woof! What do you say? I said ""woof!"" You know anymore? Wooaah ha ha ha! You've got it, that's it, you had it! That's it, man, woo! That's it! You've got it! Don't look at me man, I only have ten children Ah ho! Ha ha ha ha ha ha! Quiet boy, quiet! Okay Quiet! Hey bulldog! Hey bulldog!7Embed"
Hey Jude," Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na na na na na na na na na na  Hey Jude, don't let me down You have found her, now go and get her (Let it out and let it in) Remember (Hey Jude) to let her into your heart Then you can start to make it better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Na na na na na na na na na yeah  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it (Whoa, fucking hell!) Better better better better better better, oh  Yeah yeah yeah yeah yeah yeah yeah Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Jude Judy Judy Judy Judy Judy ow wow) Naa na na na na na na (Na na na), na na na na, hey Jude (Jude Jude Jude Jude Jude) Naa na na na na na na (Yeah yeah yeah), na na na na, hey Jude (You know you can make, Jude Jude, You're not gonna break it) Naa na (Don't make it bad Jude) na na na na na (Take a sad song and make it better), na na na na, hey Jude Hey Jude, hey Jude wow Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Jude Jude Jude Jude Jude Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Na na na na na na na na na na na na) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na (Make it Jude), na na na na, hey Jude (Yeah yeah yeah yeah yeah yeah yeah) Naa na na na na na na, na na na na, hey Jude (Go listen to ya ma ma ma ma ma ma ma ma) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude95Embed"
Hey Jude (Take 1)," What's that? Camel sunshine Hey, hey, he-he-he-hey!  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better Woah  And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na  Hey Jude, don't let me down She has found you, now go and get her Remember to let her into your heart Then you can start to make it better, better Better, better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Na na na na na na na na na Mmm  Hey Jude, don't make it bad Take a sad song and make it better The minute you let her into your heart Then you can start to make it better  Yeah yeah yeah yeah yeah yeah yeah Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Jude Judy Judy Judy Judy Judy owwwww wowww) Naa na na na na na na (na na na), na na na na, hey Jude (Jude Jude Jude Jude Jude) Naa na na na na na na (yeah yeah yeah), na na na na, hey Jude (You know you can make, Jude Jude, You're not gonna break it) Naa na (don't make it bad Jude) na na na na na (take a sad song and make it better), na na na na, hey Jude Hey Jude, hey Jude wowwwwww Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Jude Jude Jude Jude Jude Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Na na na na na na na na na na na na) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na (make it Jude), na na na na, hey Jude (Yeah yeah yeah yeah yeah yeah yeah) Naa na na na na na na, na na na na, hey Jude (Go listen to ya ma ma ma ma ma ma ma ma) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey JudeEmbed"
Hey Jude (Take 2)," From the heart of the black country When I was a robber In Boston place You gathered 'round me With your fine embrace  Hey Jude, don’t make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it’s a fool who plays it cool By making his world a little colder  Mmm, hey Jude, don't let me down She has found you, go out and get her Remember to let her into your heart Then you can start to make it Better better better better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Better better better better better, oh  Yeah, na na na na na na, na na na na, yeah Jude, yeah Naa, na na na na na na, uh make it Jude! Na na na na, hey Jude, hey Jude, yeah Naa, na na na na na na, uh make it Jude! Na na na na, hey Jude, ooh ooh, yeah Na na na na na, na na na na, oh yeah! Na na na na na na na, Jude!Embed"
Hey Jude (Take 9)," Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Na na na na na na na na na na  Hey Jude, don't let me down You have found her, now go and get her (Let it out and let it in) Remember (Hey Jude) to let her into your heart Then you can start to make it better So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Na na na na na na na na na yeah  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it (Whoa, fucking hell!) Better better better better better better, oh  Yeah yeah yeah yeah yeah yeah yeah Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Jude Judy Judy Judy Judy Judy owwwww wowww) Naa na na na na na na (Na na na), na na na na, hey Jude (Jude Jude Jude Jude Jude) Naa na na na na na na (Yeah yeah yeah), na na na na, hey Jude (You know you can make, Jude Jude, You're not gonna break it) Naa na (Don't make it bad Jude) na na na na na (Take a sad song and make it better), na na na na, hey Jude Hey Jude, hey Jude wowwwwww Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Jude Jude Jude Jude Jude Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude (Na na na na na na na na na na na na) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey Jude Naa na na na na na na (Make it Jude), na na na na, hey Jude (Yeah yeah yeah yeah yeah yeah yeah) Naa na na na na na na, na na na na, hey Jude (Go listen to ya ma ma ma ma ma ma ma ma) Naa na na na na na na, na na na na, hey Jude Naa na na na na na na, na na na na, hey JudeEmbed"
Hippy Hippy Shake, For goodness sake I got the hippy hippy shake I've got to shake Who the hippy hippy shake  Who I can't keep still With the hippy hippy shake I get my fill With the hippy hippy shake Ooh my baby Oh the hippy hippy shake  Well now you shake it to the left Shake it to the right Do the hippy shake shake With all of you might  Then you shake Who yes you shake Ooh my baby Ow the hippy hippy shake Aah! Ow! Ow yeah! Ow!   Then you shake Who yes you shake Ooh my baby Who the hippy hippy shake Ow the hippy hippy shake Yea the hippy hippy shake oh yeahEmbed
Hippy Hippy Shake (Live), For goodness sake I got the hippy hippy shake I've got to shake Who the hippy hippy shake  Who I can't keep still With the hippy hippy shake I get my fill With the hippy hippy shake Ooh my baby Oh the hippy hippy shake  Well now you shake it to the left Shake it to the right Do the hippy shake shake With all of you might  Then you shake Who yes you shake Ooh my baby Ow the hippy hippy shake Aah! Ow! Ow yeah! Ow!   Then you shake Who yes you shake Ooh my baby Who the hippy hippy shake Ow the hippy hippy shake Yea the hippy hippy shake oh yeahEmbed
Historical Notes,"The group's ninth album in the UK was called simply The Beatles but quickly became better known as 'The White Album'. The double-LP was issued on the fifth anniversary of the release of their second album With The Beatles - 22nd November, 1968. The Beatles released 34 new tracks in 1968 - returning to the high level of productivity they had maintained from 1963 to 1965. The first music of the year came in March with the arrival of their seventeenth single 'Lady Madonna'. Soon after it was recorded, the Beatles flew to Rishikesh, India for several weeks of mediation with Maharishi Mahesh Yogi and they enjoyed a prolific period of song writing at this remote location. They began recording these new songs at Abbey Road on 30th May and studio work occupied most of their time until the final session on 16th October. Two songs from this period were released as a single on 30th August, 1968 - 'Hey Jude' and 'Revolution'. It was the first Beatles record to be pressed with the Apple label and the Parlophone imprint was also replaced for the two LP discs comprising The Beatles. Any expectations of a cover to rival the vivid art work of Sgt. Pepper of Magical Mystery tour were immediately overturned. The outside of the sleeve was completely white was the only lettering consisting of 'The Beatles' embossed on the front and also printed on the spine with the catalogue number. Early copies also had an individual number stamped on the front. However, in contrast to the minimalistic look, some generous inserts were slipped alongside the records. There were four glossy color photographs of the individual Beatles and a large fold out poster displaying a photo collage on one side and lyrics on the other. Despite being an expensive double album, The Beatles was a huge seller. It entered the UK chart at number one and remained there for a total of eight of the 22 weeks it was listed. In the USA, it topped the charts of nine weeks and stayed in the album chart for an initial run of 65 weeks. As with Sgt. Pepper, no singles were released from 'The White Album' in the UK and USA during the sixties. Amid the sessions for The Beatles, the animated film Yellow Submarine was given it's UK premier on 17th July. The soundtrack LP featured four new Beatles songs and was in the shops eight weeks after the release of The Beatles.Embed"
Hold Me Tight," It feels so right now, hold me tight Tell me I'm the only one, and then I might Never be the lonely one So hold (hold), me tight (me tight) Tonight (tonight), tonight (tonight) It's you, you, you, you  Hold me tight Let me go on loving you Tonight, tonight Making love to only you So hold (hold), me tight (me tight) Tonight (tonight), tonight (tonight) It's you, you, you  You don't know What it means to hold you tight Being here alone tonight with you It feels so right  Now hold me tight Tell me I'm the only one And then I might Never be the lonely one So hold (hold), me tight (me tight) Tonight (tonight), tonight (tonight) It's you, you, you You don't know What it means to hold you tight Being here alone tonight with you It feels so right  Now hold me tight Let me go on loving you Tonight tonight Making love to only you So hold (hold), me tight (me tight) Tonight (tonight), tonight (tonight) It's you, you, you, you, ooh-ooh, ooh-ooh Oo-ooh, ooh-ooh You, ooh-oohEmbed"
Honey Don’t,"  Well how come you say you will when you won't Say you do, baby, when you don't? Let me know honey how you feel Tell the truth now, is love real?  But ah ah well honey don't, well honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't  Well I love you, baby, and you ought to know I like the way that you wear your clothes Everything about you is so doggone sweet You got that sand all over your feet  But ah ah well honey don't, honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't (Ahh rock on George, one time for me! I feel fine, mmmhm. I said...) Well sometimes I love you on a Saturday night Sunday morning you don't look right You've been out painting the town Ah ah baby, been stepping around  But ah ah well honey don't, I said honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't (Ah rock on George, for Ringo one time! Woo!)  Well honey don't, well honey don't Uh little, little honey don't I say you will when you won't, ah ah, honey, don't3Embed"
Honey Don’t [Live at the BBC Disk 2],"  Well how come you say you will when you won't Say you do, baby, when you don't? Let me know honey how you feel Tell the truth now, is love real?  But ah ah well honey don't, well honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't  Well I love you, baby, and you ought to know I like the way that you wear your clothes Everything about you is so doggone sweet You got that sand all over your feet  But ah ah well honey don't, honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't (Ahh rock on George, one time for me! I feel fine, mmmhm. I said...)  Well sometimes I love you on a Saturday night Sunday morning you don't look right You've been out painting the town Ah ah baby, been stepping around  But ah ah well honey don't, I said honey don't Honey don't, honey don't, honey don't I say you will when you won't, ah ah, honey, don't (Ah rock on George, for Ringo one time! Woo!)  Well honey don't, well honey don't Uh little, little honey don't I say you will when you won't, ah ah, honey, don'tEmbed"
Honey Pie," She was a working girl North of England way Now she's hit the big time in the U.S.A.​ And if she could only hear me, this is what I'd say  Honey Pie, you are making me crazy I'm in love, but I'm lazy So won't you please come home  Oh, honey pie, my position is tragic Come and show me the magic Of your Hollywood song  You became a legend of the silver screen And now the thought of meeting you Makes me weak in the knee  Oh, Honey Pie, you are driving me frantic Sail across the Atlantic To be where you belong Honey pie, come back to me Ooh, yeah I like it like that, oh ah  I like this kind of hot kind of music Hot kind of music Play it to me, play it to me, Hollywood blues  Will the wind that blew her boat across the sea Kindly send her sailing back to me? Tee, tee, tee  Now Honey Pie you are making me crazy I'm in love but I'm lazy So won't you please come home Come, come back to me, Honey Pie  Ooh, oh Oh oh oh oh oh oh oh Honey Pie, Honey Pie1Embed"
Honey Pie (Esher Demo), Oh honey pie my position is tragic Come and show me the magic Of your Hollywood song  Now honey pie you are driving me frantic Sail across the Atlantic To be where you belong  You became a legend of the silver screen And now you're   Now honey pie you are driving me frantic Sail across the Atlantic To be where you belong   Will the wind that blew her boat away to sea Kindly send her sailing back to me? Oh honey pie my position is tragic Come and show me the magic Of your Hollywood song  Oh yeah Oh yeah Oh yeah To be where you belongEmbed
"How About It, Gorgeous?","""Now George always gets his fair share at west cards, but this one is really funny, would you read it out George?"" ""It says, do you like the flowerpot man? And I thinkEmbed"
How Do You Do It?," How do you do what you do to me? I wish I knew If I knew how you do it to me I'd do it to you  How do you do what you do to me? I'm feeling blue Wish I knew how you do it to me But I haven't a clue  You give me a feeling in my heart, ooh-la-la Like an arrow passing through it I suppose that you think you're very smart But won't you tell me how do you do it?  How do you do what you do to me? I wish I knew If I knew how you do it to me I'd do it to you  You give me a feeling in my heart, ooh-la-la Like an arrow passing through it I suppose that you think you're very smart But won't you tell me how do you do it? How do you do what you do to me? I wish I knew Wish I knew how you do it to me But I haven't a clue Wish I knew how you do it to me I'd do it to you Wish I knew how you do it to me I'd do it to you1Embed"
I Am the Walrus," I am he as you are he as you are me and we are all together See how they run like pigs from a gun, see how they fly I'm crying  Sitting on a cornflake Waiting for the van to come Corporation tee-shirt, stupid bloody Tuesday Man, you've been a naughty boy, you let your face grow long  I am the eggman, they are the eggmen I am the walrus, goo goo a'joob  Mister City p'liceman sitting, pretty little p'licemen in a row See how they fly like Lucy in the sky, see how they run I'm crying, I'm crying I'm crying, I'm crying  Yellow-matter custard Dripping from a dead dog's eye Crab a locker fishwife, pornographic priestess Boy, you've been a naughty girl, you let your knickers down I am the eggman, they are the egg men I am the walrus, goo goo a'joob  Sitting in an English garden waiting for the sun If the sun don't come, you get a tan from standing in the English rain  I am the egg man (Now good sir, what are you?) They are the egg men (A poor man, made tame to fortune's blows) I am the walrus, goo goo goo joob (Good pity) G'goo goo g'joob  Expert, textpert, choking smokers Don't you think the joker laughs at you? (Ho ho ho, hee hee hee, ha ha ha) See how they smile like pigs in a sty, see how they snied I'm crying  Semolina pilchard Climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allan Poe I am the eggman, they are the eggmen I am the walrus, goo goo g'joob g'goo goo g'joob Goo goo a'joob g'goo goo g'joob, g'goo Joob! Joob! Joob!  Joob! Joob! Joob! Joob! Joob! Joob! Joob! Joob! Joob! Joob! Joob! Joob!  Umpa, umpa, stick it up your jumper Everybody's got one, everybody's got one “Villain, take my Purse If ever thou wilt thrive, bury my Body And give the Letters which thou findst about me To Edmund Earl of Gloucester: seek him out upon the English Party Oh, untimely death, death–” “I know thee well, a serviceable Villain; as duteous to the Vices of thy Mistress as badness would desire” “What, is he dead?” “Sit you down, Father; rest you”35Embed"
I Am the Walrus (Take 16)," I am he as you are he as you are me and we are all together See how they run like pigs from a gun, see how they fly I'm crying  Sitting on a cornflake, waiting for the van to come Corporation tee-shirt, stupid bloody Tuesday Man, you've been a naughty boy, you let your face grow long  I am the egg man, they are the egg men I am the walrus, goo goo g'joob  Mister City policeman sitting, pretty little policemen in a row See how they fly like Lucy in the sky, see how they run I'm crying, I'm crying I'm crying, I'm crying  Yellow-matter custard dripping from a dead dog's eye Crabalocker fishwife, pornographic priestess Boy, you've been a naughty girl, you let your knickers down  I am the egg man, they are the egg men I am the walrus, goo goo g'joob Sitting in an English garden waiting for the sun If the sun don't come, you get a tan From standing in the English rain  I am the egg man They are the egg men (A poor man, made tame to fortune's) blowsoo goo joob (Good pity) G'goo goo g'joob  Expert, textpert, choking smokers, don't you think the joker laughs at you? (Ho ho ho, hee hee hee, ha ha ha) See how they smile like pigs in a sty, see how they snide I'm crying  Semolina pilchard climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man, you should have seen them kicking Edgar Allan Poe  I am the egg man, they are the egg men I am the walrus, goo goo g'joob g'goo goo g'joob Goo goo g'joob g'goo goo g'joob, g'goo Joob! Joob! Joob!Embed"
I Call Your Name," I call your name but you're not there Was I to blame for being unfair Oh I can't sleep at night Since you've been gone I never weep at night I can't go on  Don't you know I can't take it I don't know who can I'm not going to make it I'm not that kind of man  Oh I can't sleep at night But just the same I never weep at night I call your name Oh!  Don't you know I can't take it I don't know who can I'm not going to make it I'm not that kind of man Oh I can't sleep at night But just the same I never weep at night I call your name  I call your name I call your name Woo, I call your nameEmbed"
I Don’t Want to Spoil the Party,"  I don't want to spoil the party, so I'll go I would hate my disappointment to show There's nothing for me here, so I will disappear If she turns up while I'm gone, please let me know  I've had a drink or two, and I don't care There's no fun in what I do when she's not there I wonder what went wrong, I've waited far too long I think I'll take a walk and look for her  Though tonight she's made me sad I still love her If I find her, I'll be glad I still love her  I don't want to spoil the party, so I'll go I would hate my disappointment to show There's nothing for me here, so I will disappear If she turns up while I'm gone, please let me know  Though tonight she's made me sad I still love her If I find her, I'll be glad I still love her  Though I've had a drink or two, and I don't care There's no fun in what I do if she's not there I wonder what went wrong, I've waited far too long I think I'll take a walk and look for her 3Embed"
I Feel Fine," Baby's good to me, you know She's happy as can be, you know She said so  I'm in love with her and I feel fine  Baby says she's mine, you know She tells me all the time, you know She said so  I'm in love with her and I feel fine  I'm so glad that she's my little girl She's so glad, she's telling all the world  That her baby buys her things, you know He buys her diamond rings, you know She said so  She's in love with me and I feel fine, mmm  Baby says she's mine, you know She tells me all the time, you know She said so  I'm in love with her and I feel fine  I'm so glad that she's my little girl She's so glad, she's telling all the world  That her baby buys her things, you know He buys her diamond rings, you know She said so  She's in love with me and I feel fine She's in love with me and I feel fine, mmm1Embed"
I Feel Fine (Live on Blackpool Night Out)," Baby's good to me, you know She's happy as can be, you know She said so I'm in love with her and I feel fine  Baby says she's mine, you know She tells me all the time, you know She said so I'm in love with her and I feel fine  I'm so glad that she's my little girl She's so glad, she's telling all the world  That her baby buys her things, you know He buys her diamond rings, you know She said so She's in love with me and I feel fine (Yeah) Mmm  Baby says she's mine, you know She tells me all the time, you know She said so I'm in love with her and I feel fine (Yeah) I'm so glad that she's my little girl She's so glad, she's telling all the world  That her baby buys her things, you know He buys her diamond rings, you know She said so She's in love with me and I feel fine She's in love with me and I feel fine MmmEmbed"
